SITE	BESTPROB	takifugu_rubripes1	takifugu_rubripes2	tetraodon_nigroviridis1	tetraodon_nigroviridis2	gasterosteus_aculeatus1	gasterosteus_aculeatus2	xiphophorus_maculatus1	xiphophorus_maculatus2	oryzias_latipes1	oryzias_latipes2	oreochromis_niloticus1	oreochromis_niloticus2	danio_rerio1	danio_rerio2	astyanax_mexicanus1	astyanax_mexicanus2
18	0.685538	NONE	ENSTRUG00000009987	NONE	ENSTNIG00000009629	ENSGACG00000009609	ENSGACG00000006883	ENSXMAG00000001316	ENSXMAG00000007126	NONE	ENSORLG00000004844	ENSONIG00000007210	ENSONIG00000007024	NONE	ENSDARG00000058732	ENSAMXG00000020488	ENSAMXG00000007237
19	0.707114	NONE	ENSTRUG00000009306	NONE	ENSTNIG00000009626	NONE	ENSGACG00000006665	NONE	ENSXMAG00000009738	NONE	ENSORLG00000004930	NONE	ENSONIG00000007050	NONE	ENSDARG00000077637	NONE	ENSAMXG00000007256
20	0.701158	NONE	ENSTRUG00000009027	NONE	ENSTNIG00000009623	ENSGACG00000009573	ENSGACG00000006642	ENSXMAG00000001280	ENSXMAG00000009701	ENSORLG00000000647	ENSORLG00000004954	ENSONIG00000007224	ENSONIG00000007059	NONE	ENSDARG00000076393	ENSAMXG00000020536	ENSAMXG00000019586
21	0.701798	ENSTRUG00000011266	NONE	ENSTNIG00000009265	ENSTNIG00000009619	ENSGACG00000009053	ENSGACG00000006620	ENSXMAG00000019759	ENSXMAG00000009656	NONE	ENSORLG00000005001	ENSONIG00000020780	ENSONIG00000020748	ENSDARG00000096389	ENSDARG00000098834	ENSAMXG00000025426	NONE
22	0.706272	ENSTRUG00000011318	ENSTRUG00000007993	NONE	ENSTNIG00000007219	NONE	ENSGACG00000006610	NONE	ENSXMAG00000005264	NONE	ENSORLG00000005120	ENSONIG00000007744	ENSONIG00000007105	ENSDARG00000011506	NONE	ENSAMXG00000011948	ENSAMXG00000012687
23	0.711264	ENSTRUG00000011731	NONE	ENSTNIG00000009261	NONE	ENSGACG00000008989	NONE	ENSXMAG00000013615	NONE	ENSORLG00000014310	NONE	ENSONIG00000007756	NONE	ENSDARG00000070623	NONE	ENSAMXG00000017668	NONE
24	0.711291	NONE	ENSTRUG00000007607	NONE	ENSTNIG00000007221	NONE	ENSGACG00000006581	NONE	ENSXMAG00000013869	NONE	ENSORLG00000005150	NONE	ENSONIG00000007110	NONE	ENSDARG00000001785	NONE	ENSAMXG00000012654
25	0.711291	NONE	ENSTRUG00000006843	NONE	ENSTNIG00000003742	NONE	ENSGACG00000006552	NONE	ENSXMAG00000013842	NONE	ENSORLG00000005170	NONE	ENSONIG00000007117	NONE	ENSDARG00000074646	NONE	ENSAMXG00000012569
26	0.711291	ENSTRUG00000011783	NONE	ENSTNIG00000009260	NONE	ENSGACG00000008986	NONE	ENSXMAG00000013614	NONE	ENSORLG00000014317	NONE	ENSONIG00000007760	NONE	ENSDARG00000079276	NONE	ENSAMXG00000017680	NONE
27	0.711286	ENSTRUG00000011788	NONE	ENSTNIG00000009258	NONE	ENSGACG00000008974	NONE	ENSXMAG00000013597	NONE	ENSORLG00000014332	NONE	ENSONIG00000007761	NONE	ENSDARG00000056665	NONE	ENSAMXG00000017682	NONE
28	0.709484	ENSTRUG00000012172	ENSTRUG00000004979	ENSTNIG00000009256	ENSTNIG00000004420	NONE	ENSGACG00000006520	ENSXMAG00000013559	ENSXMAG00000000886	ENSORLG00000014400	NONE	ENSONIG00000007771	ENSONIG00000007131	ENSDARG00000014588	ENSDARG00000058392	ENSAMXG00000017706	ENSAMXG00000007357
29	0.709216	ENSTRUG00000012584	ENSTRUG00000010141	ENSTNIG00000009255	ENSTNIG00000019124	ENSGACG00000008174	ENSGACG00000006462	ENSXMAG00000013528	ENSXMAG00000000815	ENSORLG00000014469	ENSORLG00000005279	ENSONIG00000007788	ENSONIG00000007147	NONE	ENSDARG00000000370	NONE	ENSAMXG00000007530
30	0.711213	NONE	ENSTRUG00000009318	NONE	ENSTNIG00000019119	NONE	ENSGACG00000006387	NONE	ENSXMAG00000000746	NONE	ENSORLG00000005352	NONE	ENSONIG00000007165	NONE	ENSDARG00000035309	NONE	ENSAMXG00000000152
31	0.695398	ENSTRUG00000013332	ENSTRUG00000013318	ENSTNIG00000009251	ENSTNIG00000006470	ENSGACG00000008280	ENSGACG00000003799	ENSXMAG00000000371	ENSXMAG00000002760	ENSORLG00000005549	ENSORLG00000003646	ENSONIG00000015439	ENSONIG00000007956	NONE	ENSDARG00000070832	NONE	ENSAMXG00000000160
32	0.710787	NONE	ENSTRUG00000013338	NONE	ENSTNIG00000006469	NONE	ENSGACG00000003805	NONE	ENSXMAG00000001668	NONE	ENSORLG00000003633	NONE	ENSONIG00000007959	NONE	ENSDARG00000057736	NONE	ENSAMXG00000000161
33	0.640738	ENSTRUG00000013354	ENSTRUG00000013439	ENSTNIG00000009250	ENSTNIG00000006468	ENSGACG00000008290	ENSGACG00000003811	ENSXMAG00000000378	ENSXMAG00000001652	ENSORLG00000005572	NONE	ENSONIG00000015436	ENSONIG00000007961	ENSDARG00000100388	NONE	NONE	ENSAMXG00000000162
34	0.636676	ENSTRUG00000013387	NONE	ENSTNIG00000009249	NONE	ENSGACG00000008309	NONE	ENSXMAG00000000392	NONE	ENSORLG00000005589	NONE	ENSONIG00000015435	NONE	NONE	ENSDARG00000075593	ENSAMXG00000002898	ENSAMXG00000000164
35	0.705308	NONE	ENSTRUG00000010332	NONE	ENSTNIG00000001829	NONE	ENSGACG00000001296	NONE	ENSXMAG00000016742	NONE	ENSORLG00000010968	NONE	ENSONIG00000010338	ENSDARG00000005162	NONE	ENSAMXG00000010165	ENSAMXG00000004579
36	0.711252	ENSTRUG00000013648	NONE	ENSTNIG00000009246	NONE	ENSGACG00000008328	NONE	ENSXMAG00000000426	NONE	ENSORLG00000005675	NONE	ENSONIG00000015426	NONE	ENSDARG00000054690	NONE	ENSAMXG00000020532	NONE
37	0.711288	ENSTRUG00000013718	NONE	ENSTNIG00000009245	NONE	ENSGACG00000008422	NONE	ENSXMAG00000000442	NONE	ENSORLG00000005691	NONE	ENSONIG00000015423	NONE	ENSDARG00000077664	NONE	ENSAMXG00000020539	NONE
38	0.711224	NONE	ENSTRUG00000003104	NONE	ENSTNIG00000012990	NONE	ENSGACG00000001688	NONE	ENSXMAG00000013307	NONE	ENSORLG00000015488	NONE	ENSONIG00000006713	NONE	ENSDARG00000101980	NONE	ENSAMXG00000004511
39	0.706648	NONE	ENSTRUG00000003971	NONE	ENSTNIG00000012988	NONE	ENSGACG00000001695	NONE	ENSXMAG00000013302	NONE	ENSORLG00000015510	NONE	ENSONIG00000006718	NONE	ENSDARG00000070085	NONE	ENSAMXG00000018803
40	0.705494	ENSTRUG00000013753	ENSTRUG00000004092	ENSTNIG00000009244	ENSTNIG00000012987	ENSGACG00000008455	ENSGACG00000001704	ENSXMAG00000000447	ENSXMAG00000017255	NONE	ENSORLG00000015519	ENSONIG00000015420	ENSONIG00000006722	ENSDARG00000008336	ENSDARG00000103978	ENSAMXG00000004605	ENSAMXG00000018745
41	0.711257	ENSTRUG00000013863	NONE	ENSTNIG00000009241	NONE	ENSGACG00000008486	NONE	ENSXMAG00000016252	NONE	ENSORLG00000005781	NONE	ENSONIG00000015411	NONE	ENSDARG00000035907	NONE	ENSAMXG00000010942	NONE
42	0.71129	NONE	ENSTRUG00000004414	NONE	ENSTNIG00000012986	NONE	ENSGACG00000001711	NONE	ENSXMAG00000017258	NONE	ENSORLG00000015536	NONE	ENSONIG00000006727	NONE	ENSDARG00000102987	NONE	ENSAMXG00000018580
43	0.71129	ENSTRUG00000013936	NONE	ENSTNIG00000009240	NONE	ENSGACG00000008493	NONE	ENSXMAG00000016302	NONE	ENSORLG00000005802	NONE	ENSONIG00000015407	NONE	ENSDARG00000032876	NONE	ENSAMXG00000010959	NONE
44	0.710951	ENSTRUG00000014004	ENSTRUG00000011635	ENSTNIG00000009238	ENSTNIG00000000180	NONE	ENSGACG00000006661	ENSXMAG00000016323	ENSXMAG00000006357	ENSORLG00000005843	ENSORLG00000017199	ENSONIG00000015403	ENSONIG00000012234	ENSDARG00000035909	ENSDARG00000030630	ENSAMXG00000010974	ENSAMXG00000021427
45	0.711256	ENSTRUG00000014099	NONE	ENSTNIG00000009237	NONE	ENSGACG00000008516	NONE	ENSXMAG00000016348	NONE	ENSORLG00000013982	NONE	ENSONIG00000015400	NONE	ENSDARG00000035913	NONE	ENSAMXG00000010993	NONE
46	0.709325	NONE	ENSTRUG00000011800	NONE	ENSTNIG00000017473	ENSGACG00000008586	ENSGACG00000006596	NONE	ENSXMAG00000006383	NONE	ENSORLG00000017176	ENSONIG00000015393	ENSONIG00000012228	ENSDARG00000029058	NONE	ENSAMXG00000011004	NONE
47	0.678351	NONE	ENSTRUG00000012027	NONE	ENSTNIG00000017472	NONE	ENSGACG00000006589	NONE	ENSXMAG00000006408	NONE	ENSORLG00000017157	NONE	ENSONIG00000012224	NONE	ENSDARG00000016368	NONE	ENSAMXG00000002848
48	0.668279	ENSTRUG00000010001	ENSTRUG00000012039	NONE	ENSTNIG00000017471	ENSGACG00000009219	ENSGACG00000006577	NONE	ENSXMAG00000006419	NONE	ENSORLG00000017156	ENSONIG00000007705	ENSONIG00000012217	ENSDARG00000070475	ENSDARG00000052856	ENSAMXG00000011853	ENSAMXG00000002827
49	0.695272	NONE	ENSTRUG00000012153	NONE	ENSTNIG00000017470	NONE	ENSGACG00000006544	NONE	ENSXMAG00000006431	NONE	ENSORLG00000017148	NONE	ENSONIG00000012212	NONE	ENSDARG00000018956	NONE	ENSAMXG00000020954
50	0.424494	NONE	ENSTRUG00000012324	NONE	ENSTNIG00000010267	NONE	ENSGACG00000006538	NONE	ENSXMAG00000006447	NONE	ENSORLG00000017138	NONE	ENSONIG00000012208	NONE	ENSDARG00000011222	NONE	ENSAMXG00000020942
51	0.685464	ENSTRUG00000005069	NONE	ENSTNIG00000004793	NONE	ENSGACG00000013781	NONE	ENSXMAG00000020178	NONE	ENSORLG00000015729	NONE	ENSONIG00000021262	NONE	ENSDARG00000023040	NONE	ENSAMXG00000025714	NONE
52	0.678351	NONE	ENSTRUG00000012464	NONE	ENSTNIG00000017467	NONE	ENSGACG00000006509	NONE	ENSXMAG00000006465	NONE	ENSORLG00000017127	NONE	ENSONIG00000012202	NONE	ENSDARG00000101676	NONE	ENSAMXG00000020306
53	0.639669	ENSTRUG00000004077	ENSTRUG00000013092	ENSTNIG00000004796	ENSTNIG00000000552	ENSGACG00000013791	ENSGACG00000006368	ENSXMAG00000009603	ENSXMAG00000006597	ENSORLG00000015771	ENSORLG00000017058	ENSONIG00000018836	ENSONIG00000012169	ENSDARG00000012467	NONE	ENSAMXG00000009207	NONE
54	0.534048	NONE	ENSTRUG00000013476	ENSTNIG00000005303	ENSTNIG00000019495	ENSGACG00000020088	ENSGACG00000006298	NONE	ENSXMAG00000006673	NONE	ENSORLG00000017024	NONE	ENSONIG00000012150	NONE	ENSDARG00000099657	ENSAMXG00000009230	ENSAMXG00000012355
55	0.711201	NONE	ENSTRUG00000013592	NONE	ENSTNIG00000000917	NONE	ENSGACG00000006297	NONE	ENSXMAG00000006703	NONE	ENSORLG00000017008	NONE	ENSONIG00000012149	NONE	ENSDARG00000102761	NONE	ENSAMXG00000025635
56	0.711227	NONE	ENSTRUG00000013840	NONE	ENSTNIG00000017455	NONE	ENSGACG00000006184	NONE	ENSXMAG00000006791	NONE	ENSORLG00000016956	NONE	ENSONIG00000012139	NONE	ENSDARG00000104959	NONE	ENSAMXG00000012226
57	0.711259	NONE	ENSTRUG00000013907	NONE	ENSTNIG00000017454	NONE	ENSGACG00000006183	NONE	ENSXMAG00000006817	NONE	ENSORLG00000016942	NONE	ENSONIG00000012138	NONE	ENSDARG00000098588	NONE	ENSAMXG00000012205
58	0.71129	ENSTRUG00000013355	NONE	ENSTNIG00000007516	NONE	ENSGACG00000007571	NONE	ENSXMAG00000007667	NONE	ENSORLG00000017745	NONE	ENSONIG00000005653	NONE	ENSDARG00000042877	NONE	ENSAMXG00000010400	NONE
59	0.711226	NONE	ENSTRUG00000013917	NONE	ENSTNIG00000017453	NONE	ENSGACG00000006178	NONE	ENSXMAG00000020208	NONE	ENSORLG00000016937	NONE	ENSONIG00000021031	NONE	ENSDARG00000101789	NONE	ENSAMXG00000025634
60	0.363741	ENSTRUG00000018009	ENSTRUG00000014049	ENSTNIG00000012219	ENSTNIG00000017449	ENSGACG00000007661	ENSGACG00000006109	ENSXMAG00000007690	ENSXMAG00000006852	ENSORLG00000017168	ENSORLG00000016917	ENSONIG00000005683	ENSONIG00000012129	ENSDARG00000042535	ENSDARG00000099197	ENSAMXG00000008598	ENSAMXG00000004797
61	0.366795	ENSTRUG00000018017	NONE	ENSTNIG00000012218	NONE	ENSGACG00000007699	NONE	ENSXMAG00000007696	NONE	ENSORLG00000017879	NONE	ENSONIG00000005685	NONE	ENSDARG00000032126	ENSDARG00000077045	NONE	ENSAMXG00000004801
62	0.373982	NONE	ENSTRUG00000014156	NONE	ENSTNIG00000017447	NONE	ENSGACG00000006103	NONE	ENSXMAG00000020209	NONE	ENSORLG00000016908	NONE	ENSONIG00000021030	ENSDARG00000029546	ENSDARG00000090720	ENSAMXG00000025913	NONE
63	0.384779	ENSTRUG00000018032	ENSTRUG00000014204	ENSTNIG00000012216	ENSTNIG00000017445	ENSGACG00000007942	ENSGACG00000006040	ENSXMAG00000007703	NONE	ENSORLG00000017871	ENSORLG00000016893	ENSONIG00000005692	ENSONIG00000012087	ENSDARG00000071331	NONE	ENSAMXG00000008666	ENSAMXG00000004818
64	0.393711	ENSTRUG00000018108	NONE	ENSTNIG00000012213	ENSTNIG00000017444	ENSGACG00000007923	ENSGACG00000006035	ENSXMAG00000019711	ENSXMAG00000014252	ENSORLG00000017845	ENSORLG00000016873	ENSONIG00000021412	ENSONIG00000021029	ENSDARG00000069598	ENSDARG00000099928	ENSAMXG00000024864	NONE
65	0.394057	ENSTRUG00000018112	NONE	ENSTNIG00000012212	NONE	ENSGACG00000007910	NONE	ENSXMAG00000007762	NONE	ENSORLG00000017843	NONE	ENSONIG00000005743	NONE	ENSDARG00000012144	ENSDARG00000102983	ENSAMXG00000008708	ENSAMXG00000004871
66	0.699411	ENSTRUG00000018118	NONE	ENSTNIG00000012211	NONE	ENSGACG00000007898	NONE	ENSXMAG00000007770	ENSXMAG00000014256	ENSORLG00000017841	NONE	ENSONIG00000005745	ENSONIG00000012085	ENSDARG00000042522	NONE	ENSAMXG00000005804	NONE
67	0.697844	NONE	ENSTRUG00000014573	ENSTNIG00000012209	ENSTNIG00000017441	ENSGACG00000007883	NONE	ENSXMAG00000007775	ENSXMAG00000014279	ENSORLG00000017831	ENSORLG00000016859	ENSONIG00000005747	ENSONIG00000012080	ENSDARG00000010785	NONE	ENSAMXG00000005939	NONE
68	0.697233	ENSTRUG00000005060	NONE	ENSTNIG00000016389	NONE	ENSGACG00000007847	NONE	ENSXMAG00000007798	ENSXMAG00000014341	NONE	ENSORLG00000016831	ENSONIG00000005758	ENSONIG00000012074	ENSDARG00000030116	NONE	ENSAMXG00000011936	ENSAMXG00000012607
69	0.702908	ENSTRUG00000017815	ENSTRUG00000014760	ENSTNIG00000016412	ENSTNIG00000000407	ENSGACG00000007808	ENSGACG00000005981	ENSXMAG00000007826	ENSXMAG00000014355	NONE	ENSORLG00000016817	ENSONIG00000005773	ENSONIG00000012071	ENSDARG00000024844	NONE	ENSAMXG00000017435	ENSAMXG00000012675
70	0.711207	ENSTRUG00000017817	NONE	ENSTNIG00000016413	NONE	ENSGACG00000007742	NONE	ENSXMAG00000007833	NONE	ENSORLG00000010827	NONE	ENSONIG00000005776	NONE	ENSDARG00000027916	NONE	ENSAMXG00000017420	NONE
71	0.709707	ENSTRUG00000017824	ENSTRUG00000014783	ENSTNIG00000016414	ENSTNIG00000001260	ENSGACG00000007722	ENSGACG00000005979	ENSXMAG00000007847	ENSXMAG00000014358	ENSORLG00000010846	ENSORLG00000016808	ENSONIG00000005781	ENSONIG00000012069	ENSDARG00000026484	NONE	ENSAMXG00000017406	ENSAMXG00000012688
72	0.708828	ENSTRUG00000017826	ENSTRUG00000014827	ENSTNIG00000016415	ENSTNIG00000017438	ENSGACG00000007991	ENSGACG00000005971	ENSXMAG00000007856	ENSXMAG00000014370	ENSORLG00000010920	ENSORLG00000016799	ENSONIG00000005784	ENSONIG00000012064	ENSDARG00000020134	NONE	ENSAMXG00000017380	NONE
73	0.708328	ENSTRUG00000017842	ENSTRUG00000014920	ENSTNIG00000016416	ENSTNIG00000017437	ENSGACG00000007998	ENSGACG00000005951	ENSXMAG00000007870	ENSXMAG00000014401	ENSORLG00000010997	ENSORLG00000016784	ENSONIG00000005796	ENSONIG00000012060	ENSDARG00000015627	NONE	ENSAMXG00000017364	NONE
74	0.708287	ENSTRUG00000013278	ENSTRUG00000014959	ENSTNIG00000010961	NONE	ENSGACG00000013010	ENSGACG00000005935	ENSXMAG00000006846	ENSXMAG00000014424	NONE	ENSORLG00000016762	ENSONIG00000000742	NONE	ENSDARG00000025309	NONE	ENSAMXG00000017341	NONE
75	0.70955	ENSTRUG00000013163	ENSTRUG00000014994	ENSTNIG00000010963	ENSTNIG00000017435	ENSGACG00000012992	ENSGACG00000005932	ENSXMAG00000006812	ENSXMAG00000014436	ENSORLG00000018040	ENSORLG00000016756	ENSONIG00000000754	ENSONIG00000012057	ENSDARG00000078652	NONE	ENSAMXG00000017301	NONE
76	0.71129	ENSTRUG00000013152	NONE	ENSTNIG00000010964	NONE	ENSGACG00000012982	NONE	ENSXMAG00000006801	NONE	ENSORLG00000018036	NONE	ENSONIG00000000759	NONE	ENSDARG00000038348	NONE	ENSAMXG00000017285	NONE
77	0.711217	ENSTRUG00000013125	NONE	ENSTNIG00000010965	ENSTNIG00000017434	ENSGACG00000012976	NONE	ENSXMAG00000006789	NONE	ENSORLG00000018035	NONE	ENSONIG00000000762	NONE	ENSDARG00000070434	NONE	ENSAMXG00000017273	NONE
78	0.711291	ENSTRUG00000013062	NONE	ENSTNIG00000010966	NONE	ENSGACG00000012969	NONE	ENSXMAG00000006768	NONE	ENSORLG00000018032	NONE	ENSONIG00000000764	NONE	ENSDARG00000070433	NONE	ENSAMXG00000017253	NONE
79	0.71096	ENSTRUG00000013003	NONE	ENSTNIG00000010968	ENSTNIG00000017433	ENSGACG00000012938	ENSGACG00000005910	ENSXMAG00000004258	ENSXMAG00000014444	ENSORLG00000018024	NONE	ENSONIG00000000781	ENSONIG00000012055	ENSDARG00000070426	NONE	ENSAMXG00000017179	NONE
80	0.710914	ENSTRUG00000012962	ENSTRUG00000015093	ENSTNIG00000010969	ENSTNIG00000017432	ENSGACG00000012933	ENSGACG00000005896	ENSXMAG00000004195	ENSXMAG00000014449	ENSORLG00000018020	ENSORLG00000016743	ENSONIG00000000782	NONE	ENSDARG00000070425	NONE	ENSAMXG00000017145	NONE
81	0.711169	NONE	ENSTRUG00000015165	NONE	ENSTNIG00000017430	NONE	ENSGACG00000005888	NONE	ENSXMAG00000014464	NONE	ENSORLG00000016723	NONE	ENSONIG00000012037	NONE	ENSDARG00000062328	NONE	ENSAMXG00000012754
82	0.600926	ENSTRUG00000012920	ENSTRUG00000015278	NONE	ENSTNIG00000017429	ENSGACG00000012931	ENSGACG00000005882	ENSXMAG00000013513	ENSXMAG00000014483	NONE	ENSORLG00000016699	ENSONIG00000000786	ENSONIG00000012036	ENSDARG00000042390	NONE	ENSAMXG00000007294	NONE
83	0.711193	NONE	ENSTRUG00000015404	NONE	ENSTNIG00000017425	NONE	ENSGACG00000005788	NONE	ENSXMAG00000014558	NONE	ENSORLG00000016669	NONE	ENSONIG00000012024	NONE	ENSDARG00000100359	NONE	ENSAMXG00000014228
84	0.711225	NONE	ENSTRUG00000015443	NONE	ENSTNIG00000017424	NONE	ENSGACG00000005774	NONE	ENSXMAG00000014576	NONE	ENSORLG00000016654	NONE	ENSONIG00000012020	NONE	ENSDARG00000102333	NONE	ENSAMXG00000014262
85	0.707093	NONE	ENSTRUG00000015461	NONE	ENSTNIG00000017423	NONE	ENSGACG00000007467	NONE	ENSXMAG00000014592	NONE	ENSORLG00000016648	NONE	ENSONIG00000012019	NONE	ENSDARG00000092716	NONE	ENSAMXG00000014286
86	0.711259	ENSTRUG00000004357	NONE	ENSTNIG00000019192	NONE	ENSGACG00000012241	NONE	ENSXMAG00000000592	NONE	ENSORLG00000017821	NONE	ENSONIG00000001629	NONE	ENSDARG00000041411	NONE	ENSAMXG00000013672	NONE
87	0.71129	NONE	ENSTRUG00000015473	NONE	ENSTNIG00000017422	NONE	ENSGACG00000007487	NONE	ENSXMAG00000014605	NONE	ENSORLG00000016639	NONE	ENSONIG00000012018	NONE	ENSDARG00000077567	NONE	ENSAMXG00000014295
88	0.711277	NONE	ENSTRUG00000015530	NONE	ENSTNIG00000017417	NONE	ENSGACG00000007502	NONE	ENSXMAG00000014631	NONE	ENSORLG00000016629	NONE	ENSONIG00000020195	NONE	ENSDARG00000079024	NONE	ENSAMXG00000014346
89	0.352973	ENSTRUG00000010067	ENSTRUG00000018357	ENSTNIG00000017415	ENSTNIG00000017416	ENSGACG00000010529	ENSGACG00000007509	NONE	ENSXMAG00000014638	NONE	ENSORLG00000016623	ENSONIG00000015272	ENSONIG00000020194	NONE	ENSDARG00000014230	NONE	ENSAMXG00000014365
90	0.711262	ENSTRUG00000009079	NONE	ENSTNIG00000016348	NONE	ENSGACG00000010599	NONE	ENSXMAG00000004041	NONE	ENSORLG00000009049	NONE	ENSONIG00000015292	NONE	ENSDARG00000041402	NONE	ENSAMXG00000013714	NONE
91	0.711291	ENSTRUG00000009390	NONE	ENSTNIG00000016349	NONE	ENSGACG00000010594	NONE	ENSXMAG00000003951	NONE	ENSORLG00000009061	NONE	ENSONIG00000015290	NONE	ENSDARG00000011818	NONE	ENSAMXG00000013814	NONE
